"abbrev","category","term","p.value","adj.p.value","p.fdr"
"SF","STR","Cocaine1d",0.486059104989483,0.370597122297622,0.446587068510068
"SGN","TH","Cocaine1d",0.883460270258834,0.613308759610575,0.656257552300391
"SI","PAL","Cocaine1d",0.0198027063741539,0.018704017689783,0.105607456032914
"SLC","P","Cocaine1d",0.0828899868671088,0.075563790506238,0.164944959847902
"SLD","P","Cocaine1d",0.29097307135166,0.240919663045532,0.325198979799976
"SMT","TH","Cocaine1d",0.896527858459589,0.712781490828723,0.745979532867321
"SNc","MB","Cocaine1d",0.0989136977568781,0.0880160555961179,0.179797503945011
"SNr","MB","Cocaine1d",0.0738778005716664,0.0667076539317627,0.157984482997149
"SO","HY","Cocaine1d",0.0618606934496303,0.0556375467433762,0.147594047610901
"SOCl","P","Cocaine1d",0.11800314809124,0.105631204079994,0.19975801959682
"SOCm","P","Cocaine1d",0.359105469064354,0.289854342345731,0.368419252638349
"SPA","TH","Cocaine1d",0.944943073222549,0.640083572525211,0.677318350982357
"SPFm","TH","Cocaine1d",0.553740428988891,0.41098246098539,0.478644207611033
"SPFp","TH","Cocaine1d",0.213460645793404,0.180373506223041,0.270206585792948
"SSp-bfd1","CTXpl","Cocaine1d",0.0162356652109109,0.0154058685344859,0.0964760947569444
"SSp-bfd2/3","CTXpl","Cocaine1d",0.035840682242453,0.033289008532185,0.123919013739161
"SSp-bfd4","CTXpl","Cocaine1d",0.0536485620543968,0.0491114314168454,0.140474228704607
"SSp-bfd5","CTXpl","Cocaine1d",0.0283493525937899,0.0265214948847939,0.117865350578097
"SSp-bfd6a","CTXpl","Cocaine1d",0.0504546423238255,0.0462988718723559,0.137617152654077
"SSp-bfd6b","CTXpl","Cocaine1d",0.00692694954973339,0.00667841607128528,0.070540310733732
"SSp-ll1","CTXpl","Cocaine1d",0.0538369746564682,0.0492763001215115,0.140474228704607
"SSp-ll2/3","CTXpl","Cocaine1d",0.00932296408111379,0.00894478679944755,0.0727001820721056
"SSp-ll4","CTXpl","Cocaine1d",0.021588088147279,0.0203463674788887,0.107986185592235
"SSp-ll5","CTXpl","Cocaine1d",0.0454678124279454,0.0418856311486265,0.133335925823128
"SSp-ll6a","CTXpl","Cocaine1d",0.0352687256395542,0.0327734250742726,0.123919013739161
"SSp-ll6b","CTXpl","Cocaine1d",0.122420816830055,0.107613001034337,0.201510619583905
"SSp-m1","CTXpl","Cocaine1d",0.203709728600438,0.172791387709771,0.26402524042053
"SSp-m2/3","CTXpl","Cocaine1d",0.0468149669757646,0.0430809396934254,0.136007594734616
"SSp-m4","CTXpl","Cocaine1d",0.14310773732192,0.124560428715108,0.218140460716468
"SSp-m5","CTXpl","Cocaine1d",0.115052741847528,0.10151093492772,0.195885823429776
"SSp-m6a","CTXpl","Cocaine1d",0.117246409099952,0.103328478879407,0.198349140361475
"SSp-m6b","CTXpl","Cocaine1d",0.273351259628905,0.225929430845894,0.31328346608301
"SSp-n1","CTXpl","Cocaine1d",0.191097726391263,0.162913354297619,0.254011842210981
"SSp-n2/3","CTXpl","Cocaine1d",0.0159577168737576,0.0151491332841622,0.0964494819091662
"SSp-n4","CTXpl","Cocaine1d",0.00749082201242729,0.00721324599972961,0.070540310733732
"SSp-n5","CTXpl","Cocaine1d",0.000653948043542554,0.000644935391150403,0.0307956649274317
"SSp-n6a","CTXpl","Cocaine1d",0.00543590915517327,0.00525925829598473,0.065616292289608
"SSp-n6b","CTXpl","Cocaine1d",0.0900224053502859,0.0805053845272361,0.171804787091644
"SSp-tr1","CTXpl","Cocaine1d",0.133552934330472,0.116747775720741,0.212369763453919
"SSp-tr2/3","CTXpl","Cocaine1d",0.0373240989733838,0.0346199873513821,0.123919013739161
"SSp-tr4","CTXpl","Cocaine1d",0.0106409338236884,0.0101850054473652,0.0753486163237622
"SSp-tr5","CTXpl","Cocaine1d",0.00444874314383874,0.00431560293031663,0.0607260104703782
"SSp-tr6a","CTXpl","Cocaine1d",0.00909026727413505,0.00872526950694719,0.0724576728620397
"SSp-tr6b","CTXpl","Cocaine1d",0.0301728559941702,0.028175132626057,0.11827363366103
"SSp-ul1","CTXpl","Cocaine1d",0.243538265032591,0.203457271234761,0.297780373991106
"SSp-ul2/3","CTXpl","Cocaine1d",0.0293843300970782,0.0274607753964676,0.117865350578097
"SSp-ul4","CTXpl","Cocaine1d",0.0339669568817201,0.0316028717774961,0.123919013739161
"SSp-ul5","CTXpl","Cocaine1d",0.0177508036709005,0.0168104445065512,0.103482278924928
"SSp-ul6a","CTXpl","Cocaine1d",0.0373072781023267,0.0346050749990964,0.123919013739161
"SSp-ul6b","CTXpl","Cocaine1d",0.0805473364781386,0.0724343064801162,0.164944959847902
"SSs1","CTXpl","Cocaine1d",0.0326700282957099,0.0304316753582869,0.123919013739161
"SSs2/3","CTXpl","Cocaine1d",0.0962337297789399,0.0857581041502946,0.178041281442459
"SSs4","CTXpl","Cocaine1d",0.0552571122851311,0.0505240924090991,0.141913259560852
"SSs5","CTXpl","Cocaine1d",0.0369106625667377,0.0342480537652031,0.123919013739161
"SSs6a","CTXpl","Cocaine1d",0.0205079036630506,0.019352151629068,0.105607456032914
"SSs6b","CTXpl","Cocaine1d",0.0828794795810058,0.0744235417265907,0.164944959847902
"STN","HY","Cocaine1d",0.205150637616515,0.173913412290923,0.26468097010013
"SUB","HPF","Cocaine1d",0.0364127688529962,0.0338022973420223,0.123919013739161
"SubG","TH","Cocaine1d",0.260460411313814,0.216267025505594,0.309415744356318
"SUM","HY","Cocaine1d",0.141300009643004,0.121466896715149,0.214816456227718
