"abbrev","category","term","p.value","adj.p.value","p.fdr"
"PBG","MB","Sugar1d",0.066926442617403,0.0607956616166598,0.121197062823082
"PCG","P","Sugar1d",0.249729455326687,0.208538641453378,0.267321345755672
"PCN","TH","Sugar1d",0.790976268717042,0.777450634222086,0.787761650591079
"PD","HY","Sugar1d",0.0111215388876829,0.0105228111014856,0.0535961845435665
"PERI1","CTXpl","Sugar1d",0.0875152028831367,0.078499958087578,0.13630447267934
"PERI2/3","CTXpl","Sugar1d",0.223485908498953,0.188451356330622,0.247069827201139
"PERI5","CTXpl","Sugar1d",0.120847124860044,0.106490049460155,0.166718028253193
"PERI6a","CTXpl","Sugar1d",0.0866951538190563,0.0778014939964475,0.136283028807472
"PERI6b","CTXpl","Sugar1d",0.259371820610999,0.215829331034506,0.273381636647367
"PF","TH","Sugar1d",0.55706165834133,0.422610374050428,0.463899893354206
"PG","P","Sugar1d",0.85231773742205,0.750274993140402,0.762247466435196
"PH","HY","Sugar1d",0.152830047187022,0.133948899647346,0.190217396525227
"PIR","OLF","Sugar1d",0.123097309130039,0.108350076777284,0.167569754368107
"PL1","CTXpl","Sugar1d",0.999110425718734,0.675042601255603,0.697479112032273
"PL2/3","CTXpl","Sugar1d",1.37705599103965e-269,0,0
"PL5","CTXpl","Sugar1d",0.224629843399567,0.191240401934756,0.24899281335988
"PL6a","CTXpl","Sugar1d",0.0534929161234965,0.0494455993396244,0.111764609158204
"PL6b","CTXpl","Sugar1d",0.0393716592391404,0.0367846248458042,0.0975814353548418
"PMd","HY","Sugar1d",0.0235602074134552,0.0223338386371934,0.0768605978325034
"PMv","HY","Sugar1d",0.00736484439706619,0.00713699900585318,0.0439731229070309
"PO","TH","Sugar1d",0.883275188199076,0.730840483198196,0.750486732746535
"POL","TH","Sugar1d",0.145218953187233,0.126487694740373,0.183719769546854
"POR","P","Sugar1d",0.371865556238659,0.29798847881759,0.348108865163056
"POST","HPF","Sugar1d",0.0320944623342128,0.0299528302490347,0.0887169020024923
"PP","TH","Sugar1d",0.186440885930779,0.159527508316444,0.218421176261224
"PPN","MB","Sugar1d",0.0670653186762293,0.0609158012095071,0.121197062823082
"PPT","MB","Sugar1d",0.107927882488408,0.0957317211558222,0.154301761525418
"PR","TH","Sugar1d",0.142663173527703,0.125608830477089,0.183719769546854
"PRC","MB","Sugar1d",0.0318602227167417,0.0299593726657631,0.0887169020024923
"PRE","HPF","Sugar1d",0.0176676266506843,0.0167525119291264,0.0659738098652195
"PRNr","P","Sugar1d",0.138744828450377,0.121211300279784,0.18086998713624
"PS","HY","Sugar1d",0.00102199828431469,0.00100869327600939,0.0148180682698761
"PST","HY","Sugar1d",0.256881427291365,0.216128937873049,0.273381636647367
"PSTN","HY","Sugar1d",0.117425732476565,0.104620540004388,0.164465211035705
"PSV","P","Sugar1d",0.534744325899499,0.408242632105838,0.452025175259217
